"r.day" "month" "day" "pow.obs" "ws30" "wd30"
1 1 1 0.0486055555555556 6.72361111111175 4.03434046045376
2 1 2 0.556002739726028 4.27260273972582 2.13652080918308
3 1 3 0.423723287671232 4.27260273972615 1.62403178346134
4 1 4 0.332175342465754 6.54109589041105 0.226902202977219
5 1 5 0.37455890410959 9.71369863013684 5.31618519450688
6 1 6 0.64245205479452 8.16164383561671 0.952296308306712
7 1 7 0.0434904109589042 8.89315068493079 0.448725718203046
8 1 8 0.00125753424657534 6.42876712328722 0.958336525954724
9 1 9 6.02739726027398e-05 5.14657534246554 5.94304023189495
10 1 10 0.00503561643835616 7.84109589041129 0.462411612310365
11 1 11 0.25415890410959 9.08287671232969 5.25925479632281
12 1 12 0.639194824961948 14.4595890410947 5.2211572470206
13 1 13 0.38662100456621 16.5013698630138 5.36076116203914
14 1 14 0.658642313546424 24.5232876712367 4.92602622515896
15 1 15 0.933363774733638 24.8506849315048 4.61783960534757
16 1 16 0.767153729071538 24.9061643835609 5.11534501918791
17 1 17 0.82027092846271 24.6321917808244 4.46946564621992
18 1 18 0.61689802130898 19.9643835616436 4.68794772601303
21 1 21 0.40565296803653 14.9630136986293 3.57820857588046
22 1 22 0.222861491628614 9.06986301369839 3.36268864970706
23 1 23 0.104048706240487 4.43356164383499 0.987316438281246
24 1 24 0.229814307458144 6.53082191780825 5.40421158824928
25 1 25 0.836913242009132 15.1753424657547 4.44624218840545
26 1 26 0.553400304414004 14.7198630136985 5.08445295367509
27 1 27 0.644569254185692 24.9499999999974 5.3912818950745
28 1 28 0.88552207001522 23.4136986301319 5.17593929429854
29 1 29 0.408742770167428 8.56780821917718 0.384596531091902
30 1 30 0.581266362252664 8.3260273972609 0.499045142753409
31 1 31 0.403144596651446 13.0958904109596 0.372949876797532
32 2 1 0.64029109589041 14.2849315068508 4.25665305198848
33 2 2 0.936212328767124 15.0945205479452 4.13932937686543
34 2 3 0.570544520547946 13.3541095890412 4.19740619882094
35 2 4 0.00079931506849315 4.66506849315069 4.4469349752324
36 2 5 0.184128767123288 4.97054794520569 5.8786674760644
37 2 6 0.083172602739726 13.8808219178095 6.23220120320651
38 2 7 0.521797260273972 8.83287671232948 4.76266635105922
39 2 8 0.168230136986301 4.36506849315116 5.26519037804144
40 2 9 0.876830136986302 11.0609589041099 3.38518391061436
41 2 10 0.257613698630136 7.24931506849333 3.52239350234979
42 2 11 0.0690027397260274 5.9691780821916 3.75227886784102
43 2 12 0.0309424657534246 6.71369863013755 3.49534055682095
44 2 13 0.00132602739726027 1.13904109589026 4.34491443297279
45 2 14 0.0792739726027398 6.9712328767123 6.27464196013179
46 2 15 0.055227397260274 9.43356164383529 0.860666468005263
49 2 18 0.00112328767123288 7.63904109589074 1.1271821393174
50 2 19 0.020958904109589 9.23972602739831 1.97483803881074
51 2 20 0.0150520547945205 13.6499999999996 1.88482986564298
52 2 21 0.228717808219178 9.59589041095896 2.87881442893513
53 2 22 0.119021917808219 8.79657534246569 3.04208304346177
54 2 23 0.193106849315068 9.64383561643866 3.14356883200958
56 2 25 0.00287397260273972 3.63561643835581 3.06915672403426
57 2 26 0.0663698630136986 4.87876712328779 2.02366977768545
58 2 27 0.0397013698630138 5.00547945205527 1.25121480319096
59 2 28 0.0017013698630137 2.32876712328704 6.05615171721353
60 3 1 0.434939726027398 7.06164383561716 3.06286517533353
61 3 2 0.506156164383562 8.52465753424699 2.52383721167738
62 3 3 0.412457534246576 5.2219178082187 2.08072848234781
63 3 4 0.206635616438356 5.46712328767138 3.08321296973904
64 3 5 0.90493698630137 8.19863013698651 3.45234138324654
65 3 6 0.906087671232876 16.3404109589034 3.12738560415467
66 3 7 0.193608219178082 7.88698630137094 4.93577747041605
67 3 8 0.703693150684932 17.0582191780841 3.69566000338745
68 3 9 0.079054794520548 15.4184931506824 4.95505594165758
70 3 11 0.694909589041096 12.0171232876714 4.05963997485382
71 3 12 0.398120547945206 10.0267123287666 5.6455339124934
72 3 13 0.0259945205479452 8.89589041095896 0.215172060498363
73 3 14 0.0196164383561644 5.11027397260241 0.809042718307032
74 3 15 0.00064931506849315 2.77602739725977 5.75389264297613
75 3 16 0.164528767123288 7.50684931506933 5.25349978030656
76 3 17 0.208876712328768 9.03698630137073 5.8638372137806
77 3 18 0.048082191780822 5.87945205479362 5.43916983097731
78 3 19 0.129115068493151 8.53561643835631 5.36951526154055
79 3 20 0.0510739726027398 6.46095890410738 0.849176445151564
80 3 21 0.428487671232876 8.67328767123347 2.62933275782713
81 3 22 0.293186301369864 6.50616438356197 3.47561845528504
82 3 23 0.120920547945205 7.46712328767114 4.16264167048732
83 3 24 0.0353972602739726 4.79589041095872 4.40123827385014
84 3 25 0.00686575342465754 4.39931506849485 6.08193219076143
87 3 28 8.76712328767124e-05 1.49452054794482 1.25267995659096
88 3 29 0.031717808219178 5.37876712328692 3.1729666397096
89 3 30 0.525901369863014 10.3527397260273 4.80438151213304
90 3 31 0.288917808219178 9.93082191780873 5.85709224241293
91 4 1 0.686193302891934 11.2321917808216 3.65029030028139
92 4 2 0.346496194824962 8.36506849315039 4.89665654011316
93 4 3 0.54041704718417 12.5280821917806 6.12129808074135
94 4 4 0.578855403348554 12.9493150684932 4.65137630721267
95 4 5 0.675768645357686 13.1657534246586 6.01954196920625
96 4 6 0.87697108066971 15.281506849314 0.282252838813025
97 4 7 0.460365296803654 11.0794520547944 0.44859714288142
98 4 8 0.186907458143075 7.79383561643919 0.290478302989361
99 4 9 0.653649315068494 11.9253424657536 0.529440774635487
100 4 10 0.265939726027398 10.6883561643848 1.03139563985982
101 4 11 0.041545205479452 4.51849315068541 3.77163786376106
102 4 12 0.395876712328768 8.56575342465786 4.11261060329144
103 4 13 0.00368219178082192 2.7452054794514 0.354133109692552
105 4 15 0.111147945205479 10.5212328767128 2.21166715581643
106 4 16 0.015772602739726 7.34794520547903 2.41195262900142
107 4 17 0.0453917808219178 3.97260273972636 6.01488181609781
108 4 18 0.300298630136986 9.11027397260343 1.01921656430589
109 4 19 0.713183561643836 13.0294520547955 1.28435007907626
110 4 20 0.87766301369863 15.031506849315 1.71591454135899
111 4 21 0.490739726027398 12.0164383561647 1.99313730559525
112 4 22 0.0687013698630138 6.66917808219226 1.81332658267789
113 4 23 0.0411424657534246 4.78698630137049 0.286777506711363
114 4 24 0.0964739726027398 5.38698630137004 3.18845120345509
115 4 25 0.185539726027397 5.6465753424662 2.76828837775192
116 4 26 0.689139726027398 13.729452054796 2.49776657712604
117 4 27 0.70277808219178 10.1856164383592 4.92852872473369
118 4 28 0.319213698630136 10.4054794520563 4.17083711900654
119 4 29 0.672931506849316 14.2623287671251 3.86951361909789
120 4 30 0.384 9.04109589041027 3.28732883032611
121 5 1 0.635446575342466 13.7273972602753 4.49986828396315
122 5 2 0.138367123287671 7.48493150684982 3.84015692376213
123 5 3 0.508016438356164 12.6294520547956 4.01272477049593
124 5 4 0.146191780821918 8.66849315068598 4.17472159817383
125 5 5 0.585479452054794 9.89520547945391 3.4475487647958
126 5 6 0.277750684931506 8.85547945205471 4.14326477106701
127 5 7 0.380605479452054 10.5294520547949 4.47849627861152
128 5 8 0.22027397260274 8.05616438356176 3.59711261589509
129 5 9 0.15998904109589 7.58698630137001 4.52264964329412
130 5 10 0.123235616438356 7.45890410958967 4.20814056456212
131 5 11 0.0318739726027398 5.58904109589089 2.2661350480125
132 5 12 0.39805205479452 7.73835616438464 3.11617689302971
133 5 13 0.420805479452054 6.33150684931495 3.44101534208433
134 5 14 0.482767123287672 9.7616438356174 4.09429819329524
135 5 15 0.690213698630136 11.4712328767124 4.73986454025282
136 5 16 0.107441095890411 8.5246575342469 4.82310604501201
137 5 17 0.232246575342466 6.74109589041069 2.44229197392396
138 5 18 0.262334246575342 8.76369863013696 3.12731123228112
139 5 19 0.24364109589041 7.11301369863062 3.75952121296531
140 5 20 0.236745205479452 5.7541095890428 4.00671987387283
141 5 21 0.211139726027398 8.72465753424717 4.62522603789022
142 5 22 0.152906849315068 5.50136986301507 4.12330721500137
143 5 23 0.350227397260274 9.6006849315076 3.69038964886049
144 5 24 0.104380821917808 5.92191780821897 3.30066458333425
145 5 25 0.0332328767123288 5.43287671232733 5.30342877323721
146 5 26 0.128227397260274 5.87534246575298 4.88939916967554
147 5 27 0.00016986301369863 3.16849315068532 4.42257564581492
151 5 31 0.0454082191780822 6.27534246575292 5.35147357105554
152 6 1 0.00052054794520548 4.11917808219199 0.657698242486756
153 6 2 0.24612602739726 10.2842465753426 2.26643493441544
154 6 3 0.053227397260274 9.60136986301205 2.57779124224396
155 6 4 0.00446849315068494 7.81095890410917 2.95660230792482
156 6 5 0.420682191780822 9.18356164383651 4.24147476397682
157 6 6 0.153043835616438 8.25753424657507 4.72492822326993
158 6 7 0.0383013698630136 6.11164383561695 3.99032065548
159 6 8 0.119172602739726 4.79452054794544 2.02754634279898
160 6 9 0.849100761035008 20.9102739726078 4.38054129247771
161 6 10 0.0904362252663622 6.97465753424699 4.0055755127964
162 6 11 0.410320547945206 11.9082191780833 4.28798819482261
163 6 12 0.234186301369864 10.4178082191775 4.47900874332686
164 6 13 0.356054794520548 10.1534246575349 4.86473948023683
165 6 14 0.213830136986302 8.63904109589038 4.93075727775062
166 6 15 0.211191780821918 8.95410958904116 5.1346559126857
167 6 16 0.0250602739726028 4.9294520547935 5.19203350279967
168 6 17 0.171564383561644 6.34794520547912 2.48590187872648
169 6 18 0.179975342465753 7.71232876712329 2.99542496596834
170 6 19 0.645128767123288 12.4404109589068 4.35846852509391
171 6 20 0.762608219178082 13.8486301369887 4.88167237956919
172 6 21 0.784435616438356 13.3808219178077 5.19543960286275
173 6 22 0.18667397260274 7.8931506849316 4.88215402423102
174 6 23 0.30466301369863 10.4616438356176 2.60844701183435
175 6 24 0.709912328767124 14.5767123287679 4.74677395959736
176 6 25 0.429665753424658 11.1917808219178 5.75501319688106
177 6 26 0.0204191780821918 4.91232876712245 1.07092655534873
178 6 27 0.0324 3.48082191780753 0.856797120160529
180 6 29 0.0112876712328767 7.13904109589268 1.24911522871862
181 6 30 0.115964383561644 3.27808219178082 1.98266530444733
182 7 1 0.452443835616438 11.5732876712335 2.01935888936325
183 7 2 0.0271013698630136 3.36232876712266 3.35659707082148
184 7 3 0.0228082191780822 2.69863013698594 0.104420601551783
185 7 4 0.403161643835616 10.4931506849313 5.37730550411853
186 7 5 0.173753424657534 7.76986301369857 5.92818500972779
187 7 6 0.281391780821918 9.28561643835646 5.07882066591195
188 7 7 0.129068493150685 8.64726027397326 5.12370826859292
189 7 8 0.133997260273973 8.48493150684908 4.67885086399519
190 7 9 0.239320547945206 8.72123287671239 5.25863670916047
191 7 10 0.244079452054794 5.74452054794359 5.1221000996544
192 7 11 0.160405479452055 7.78150684931534 4.06429506887624
