"time";"SPY"
"138";"2009-1-26";-0.0162238419938866
"139";"2009-2-2";-0.0131453154875718
"140";"2009-2-9";0.0547348026156454
"141";"2009-2-17";-0.0904707233065442
"142";"2009-2-24";-0.0219641504670537
"143";"2009-3-3";-0.0956375838926176
"144";"2009-3-10";0.0299700299700301
"145";"2009-3-17";0.0832755992794791
"146";"2009-3-24";0.0309542082374007
"147";"2009-3-31";-0.0133995037220843
"148";"2009-4-7";0.0267857142857144
"149";"2009-4-15";0.0440906307409675
"150";"2009-4-22";-0.00832844574780051
"151";"2009-4-29";0.0337118523775727
"152";"2009-5-6";0.05435404508525
"153";"2009-5-13";-0.037551551986108
"154";"2009-5-20";0.0206359945872801
"155";"2009-5-28";0.00452988620041981
"156";"2009-6-4";0.0397052353717554
"157";"2009-6-11";0.00306780916111279
"158";"2009-6-18";-0.0274203754482176
"159";"2009-6-25";-0.00151810887009326
"160";"2009-7-2";-0.0246524761077324
"161";"2009-7-10";-0.0205990424228929
"162";"2009-7-17";0.0701455206912233
"163";"2009-7-24";0.0417507702114098
"164";"2009-7-31";0.00764837854374872
"165";"2009-8-7";0.0241878352393483
"166";"2009-8-17";-0.0285573122529644
"167";"2009-8-24";0.0472993591699724
"168";"2009-8-31";-0.00485625485625486
"169";"2009-9-8";0.00468475502635179
"170";"2009-9-15";0.0270060229259763
"171";"2009-9-22";0.0127695800227014
"172";"2009-9-29";-0.00999346222097687
"173";"2009-10-6";-0.00462264150943391
"174";"2009-10-13";0.0184816605061131
"175";"2009-10-20";0.016285129350456
"176";"2009-10-27";-0.0255471110704147
"177";"2009-11-3";-0.0166322119902274
"178";"2009-11-10";0.0472049689440994
"179";"2009-11-17";0.0159686102746601
"180";"2009-11-24";-0.00314352433985997
"181";"2009-12-2";0.00234255338318772
"182";"2009-12-9";-0.0110561797752809
"183";"2009-12-16";0.0136338847482276
"184";"2009-12-23";0.00385581061692976
"185";"2009-12-31";-0.00455560518088437
"186";"2010-1-8";0.0280868628858578
"187";"2010-1-15";-0.00811730819586273
"188";"2010-1-25";-0.0340549102428723
"189";"2010-2-1";-0.00646806960007282
"190";"2010-2-8";-0.0290665688611773
"191";"2010-2-16";0.0363584852205118
"192";"2010-2-23";0.000637871332239907
"193";"2010-3-2";0.0217648665877425
"194";"2010-3-9";0.0201426024955436
"195";"2010-3-16";0.0170365193080552
"196";"2010-3-23";0.0085903272914698
"197";"2010-3-30";-8.51716208158667e-05
"198";"2010-4-7";0.00817717206132874
"199";"2010-4-14";0.0239101047651233
"200";"2010-4-21";-0.00437329812690817
"201";"2010-4-28";-0.0106083209017073
"202";"2010-5-5";-0.021444127994639
"203";"2010-5-12";0.00539291217257327
"204";"2010-5-19";-0.048446147296722
"205";"2010-5-26";-0.0410701503221189
"206";"2010-6-3";0.0330316319865633
"207";"2010-6-10";-0.0140908680336012
"208";"2010-6-17";0.0273934951901053
"209";"2010-6-24";-0.0420902443374353
"210";"2010-7-1";-0.0433811208341091
"211";"2010-7-9";0.0506033476060723
"212";"2010-7-16";-0.0120414968506854
"213";"2010-7-23";0.0351584474029627
"214";"2010-7-30";-0.00126800108685808
"215";"2010-8-6";0.0192255373174935
"216";"2010-8-13";-0.0363021621140671
"217";"2010-8-20";-0.00720155110331457
"218";"2010-8-27";-0.00623081930624014
"219";"2010-9-3";0.037712895377129
"220";"2010-9-13";0.0165028406528993
"221";"2010-9-20";0.0132185947480482
"222";"2010-9-27";0.00052534804307856
"223";"2010-10-4";-0.00455062571103523
"224";"2010-10-11";0.0254945054945055
"225";"2010-10-18";0.0162023146163738
"226";"2010-10-25";0.00134975535684154
"227";"2010-11-1";-0.00143218197135637
"228";"2010-11-8";0.0334092634776006
"229";"2010-11-15";-0.0200832721038452
"230";"2010-11-22";0.00133300008331248
"231";"2010-11-30";-0.0141442715700142
"232";"2010-12-7";0.036627563507469
"233";"2010-12-14";0.0149800537328015
"234";"2010-12-21";0.00577524665115905
"235";"2010-12-29";0.0042268123454821
"236";"2011-1-5";0.0136594663278272
"237";"2011-1-12";0.00736446255092457
"238";"2011-1-20";-0.00388862964691243
"239";"2011-1-27";0.0149125546533416
