"time";"SPY"
"2006-5-5";0.00798661291549412
"2006-5-12";-0.0247509809840024
"2006-5-19";-0.016558341070876
"2006-5-26";0.0100708103855232
"2006-6-5";-0.00981461286804791
"2006-6-12";-0.0246224040276904
"2006-6-19";-0.00258085329462048
"2006-6-26";0.0106735667502223
"2006-7-3";0.0224817985438835
"2006-7-11";-0.00305164319248827
"2006-7-18";-0.0269994505925751
"2006-7-25";0.0216987980963136
"2006-8-1";0.0044212853308069
"2006-8-8";0.00149347586857411
"2006-8-15";0.00957538654736676
"2006-8-22";0.0115836119101299
"2006-8-29";0.0035351982785122
"2006-9-6";-0.000536069842242469
"2006-9-13";0.0131024442571451
"2006-9-20";0.00219331417334739
"2006-9-27";0.00928231831559896
"2006-10-4";0.00882308957679063
"2006-10-11";0.00140824192113865
"2006-10-18";0.0109540374509658
"2006-10-25";0.0128852771066695
"2006-11-1";-0.0107697867726779
"2006-11-8";0.014978810463247
"2006-11-15";0.0079907854006192
"2006-11-22";0.00642765319240092
"2006-11-30";-0.00276752767527666
"2006-12-7";0.00448302853483239
"2006-12-14";0.0138849532445453
"2006-12-21";-0.0104807154835103
"2006-12-29";0
"2007-1-9";-0.00388363225533125
"2007-1-17";0.0138229247891119
"2007-1-24";0.00650258705076198
"2007-1-31";-0.00138937130948238
"2007-2-7";0.0101565217391305
"2007-2-14";0.00275463122374496
"2007-2-22";0.00178559164892515
"2007-3-1";-0.0367450469596217
"2007-3-8";0.00163689417123349
"2007-3-15";-0.00902373170385115
"2007-3-22";0.0266007026600703
"2007-3-29";-0.00845090096382182
"2007-4-5";0.015989293512714
"2007-4-13";0.00748752079866877
"2007-4-20";0.022708505367465
"2007-4-27";0.00612299825057191
"2007-5-4";0.00929579348625685
"2007-5-11";-0.000397561622051245
"2007-5-18";0.0116664457112554
"2007-5-25";-0.00609356571877871
"2007-6-4";0.0158876656338585
"2007-6-11";-0.0181700194678779
"2007-6-18";0.0105089226701915
"2007-6-25";-0.0200143894303092
"2007-7-2";0.0130814923580056
"2007-7-10";-0.00573160287238952
"2007-7-17";0.0253776835409489
"2007-7-24";-0.0222940226171243
"2007-7-31";-0.0368803701255784
"2007-8-7";0.0140680757617349
"2007-8-14";-0.0322122216958789
"2007-8-21";0.0134256345710091
"2007-8-28";-0.00834885806941287
"2007-9-5";0.0283189535207347
"2007-9-12";0.000541308613573398
"2007-9-19";0.0371272063298844
"2007-9-26";-0.00762910798122076
"2007-10-3";0.0104474669820619
"2007-10-10";0.0158668227337755
"2007-10-17";-0.0126104212008706
"2007-10-24";-0.0179578606158834
"2007-10-31";0.0209268550303672
"2007-11-7";-0.0435822825735532
"2007-11-14";-0.00162260834291129
"2007-11-21";-0.0405634184329924
"2007-11-29";0.0388198757763975
"2007-12-6";0.0255469493137654
"2007-12-13";-0.0124552802438055
"2007-12-20";-0.0151616798604588
"2007-12-28";0.00340599455040872
"2008-1-7";-0.041479972844535
"2008-1-14";0.000637438912104281
"2008-1-22";-0.0747451868629672
"2008-1-29";0.039703182374541
"2008-2-5";-0.0130969023618571
"2008-2-12";0.00641169015134581
"2008-2-20";0.00688939921475649
"2008-2-27";0.0169217186580342
"2008-3-5";-0.0317609607871508
"2008-3-12";-0.0184562504670104
"2008-3-19";-0.00829780755176616
"2008-3-27";0.0190373838949873
"2008-4-3";0.0320903954802259
"2008-4-10";-0.00722574994525933
"2008-4-17";0.00698426701955586
"2008-4-24";0.00985617288457322
"2008-5-1";0.0201706188548295
"2008-5-8";-0.0138190064488698
"2008-5-15";0.0243604484047141
"2008-5-22";-0.0213258505787444
"2008-5-30";0.00537595871263709
"2008-6-6";-0.0283045772137459
"2008-6-13";-0.00102722136620432
"2008-6-20";-0.0335659199412412
"2008-6-27";-0.029639762881897
"2008-7-7";-0.0209899749373434
"2008-7-14";-0.018
"2008-7-21";0.0268839103869654
"2008-7-28";-0.0191193970646569
"2008-8-4";0.0111614364283403
"2008-8-11";0.0454327307630778
"2008-8-18";-0.0176740627390972
"2008-8-25";-0.0110600514058726
"2008-9-2";0.00803339371505077
"2008-9-9";-0.0372685366044222
"2008-9-16";-0.00908943353351732
"2008-9-23";-0.0290745290745291
"2008-9-30";-0.0215942640236187
"2008-10-7";-0.137598068799034
"2008-10-14";-0.00179946016195148
"2008-10-21";-0.0399599399098647
"2008-10-28";-0.0219069476319632
"2008-11-4";0.0709257679180886
"2008-11-11";-0.105965541280749
"2008-11-18";-0.0299654673053358
"2008-11-25";-0.0163068442811208
"2008-12-3";0.0193789399953303
"2008-12-10";0.0319514429683922
"2008-12-17";0.0167572966374432
"2008-12-24";-0.0541366513861603
"2009-1-2";0.0726978998384491
"2009-1-9";-0.041630808950086
"2009-1-16";-0.04523515546077
"2009-1-26";-0.0162238419938866
"2009-2-2";-0.0131453154875718
"2009-2-9";0.0547348026156454
"2009-2-17";-0.0904707233065442
"2009-2-24";-0.0219641504670537
"2009-3-3";-0.0956375838926176
"2009-3-10";0.0299700299700301
"2009-3-17";0.0832755992794791
"2009-3-24";0.0309542082374007
"2009-3-31";-0.0133995037220843
"2009-4-7";0.0267857142857144
"2009-4-15";0.0440906307409675
"2009-4-22";-0.00832844574780051
"2009-4-29";0.0337118523775727
"2009-5-6";0.05435404508525
"2009-5-13";-0.037551551986108
"2009-5-20";0.0206359945872801
"2009-5-28";0.00452988620041981
"2009-6-4";0.0397052353717554
"2009-6-11";0.00306780916111279
"2009-6-18";-0.0274203754482176
"2009-6-25";-0.00151810887009326
"2009-7-2";-0.0246524761077324
"2009-7-10";-0.0205990424228929
